ID,rank,scientificName
902,order,"Sarcinochrysidales"
903,class,"Pinguiophyceae"
904,order,"Pinguiochrysidales"
905,superclass,"Khakista"
s906,class,"Diatomeae"
906,class,"Bacillariophyceae "
907,subclass,"Bacillariophycidae"
908,order,"Achnanthales"
909,order,"Bacillariales"
910,order,"Cymbellales"
911,order,"Dictyoneidales"
912,order,"Eunotiales"
913,order,"Lyrellales"
914,order,"Mastogloiales"
915,order,"Naviculales"
916,order,"Rhopalodiales"
917,order,"Surirellales"
918,order,"Thalassiophysales"
919,class,"Bolidophyceae"
s920,order,"Bolidomonadales"
920,order,"Parmales "
921,subclass,"Coscinodiscophycidae"
922,order,"Anaulales"
923,order,"Arachnoidiscales"
924,order,"Asterolamprales"
